"Tube.Number","Wetland","Site","Core","Depth","hours.elapsed","Flow.Rate..ml..hr.","FTR_volume","pH","EC","Sulfate_txmt","Final_sulfate_conc_inf","Final_sulfate_conc_eff","Avg_sulfate_conc_in_FTR","SRR","Units_SRR","FeII_conc_fianl_M","FeII_release_rate","FeII_release_rate_units","X","Taken.for.SS.Analysis"
1149,"Depressional","B",3,"Shallow",438,1.755333333,27.71,4.95,NA,"0.15_mM",0.144457045,0.132706584,0.138581815,0.744351363,"nmol_sulfate_hr-1_cm-3",0.00133603,84.63288913,"nmol_hr-1_cm-3",NA,"Y"
1161,"Depressional","B",3,"Shallow",450,1.760833333,27.71,NA,NA,"0.15_mM",0.144457045,0.132185839,0.138321442,0.779774394,"nmol_sulfate_hr-1_cm-3",0.001286508,81.75123324,"nmol_hr-1_cm-3",NA,"Y"
1185,"Depressional","B",3,"Shallow",474,1.7575,27.71,NA,NA,"0.15_mM",0.144457045,0.131821318,0.138139182,0.801417923,"nmol_sulfate_hr-1_cm-3",0.001475085,93.55689794,"nmol_hr-1_cm-3",NA,"Y"
1209,"Depressional","B",3,"Shallow",498,1.752666667,27.71,NA,NA,"0.25_mM",0.24799034,0.197487227,0.222738783,3.194338584,"nmol_sulfate_hr-1_cm-3",0.001443104,91.27682748,"nmol_hr-1_cm-3",NA,"Y"
1221,"Depressional","B",3,"Shallow",510,1.722833333,27.71,4.882,250,"0.25_mM",0.24799034,0.203629651,0.225809995,2.758068322,"nmol_sulfate_hr-1_cm-3",0.001601974,99.60065102,"nmol_hr-1_cm-3",NA,"Y"
1233,"Depressional","B",3,"Shallow",522,1.754333333,27.71,NA,NA,"0.25_mM",0.24799034,0.217135105,0.232562722,1.953459629,"nmol_sulfate_hr-1_cm-3",0.001463995,92.68624331,"nmol_hr-1_cm-3",NA,"Y"
1245,"Depressional","B",3,"Shallow",534,1.721166667,27.71,4.945,294,"0.25_mM",0.24799034,0.211494896,0.229742618,2.266861802,"nmol_sulfate_hr-1_cm-3",0.001374176,85.35495177,"nmol_hr-1_cm-3",NA,"Y"
1257,"Depressional","B",3,"Shallow",546,1.758833333,27.71,NA,NA,"0.25_mM",0.24799034,0.215324029,0.231657184,2.073424617,"nmol_sulfate_hr-1_cm-3",0.00133245,84.57445906,"nmol_hr-1_cm-3",NA,"Y"
1269,"Depressional","B",3,"Shallow",558,1.738333333,27.71,4.949,246,"0.25_mM",0.24799034,0.19581615,0.221903245,3.273046986,"nmol_sulfate_hr-1_cm-3",0.001317908,82.67640598,"nmol_hr-1_cm-3",NA,"Y"
1281,"Depressional","B",3,"Shallow",570,1.761333333,27.71,NA,NA,"0.25_mM",0.24799034,0.203914249,0.225952294,2.801612714,"nmol_sulfate_hr-1_cm-3",0.001304122,82.89399787,"nmol_hr-1_cm-3",NA,"Y"
1293,"Depressional","B",3,"Shallow",582,1.754,27.71,4.923,252,"0.25_mM",0.24799034,0.206423883,0.227207111,2.631092213,"nmol_sulfate_hr-1_cm-3",0.00135271,85.62443492,"nmol_hr-1_cm-3",NA,"Y"
1305,"Depressional","B",3,"Shallow",594,1.754666667,27.71,NA,NA,"0.25_mM",0.24799034,0.219452813,0.233721576,1.807067695,"nmol_sulfate_hr-1_cm-3",0.001336832,84.65155481,"nmol_hr-1_cm-3",NA,"Y"
1329,"Depressional","B",3,"Shallow",618,1.724833333,27.71,NA,NA,"0.25_mM",0.24799034,0.22894443,0.238467385,1.185529388,"nmol_sulfate_hr-1_cm-3",0.001479483,92.09171787,"nmol_hr-1_cm-3",NA,"Y"
1365,"Depressional","B",3,"Shallow",654,1.716333333,27.71,4.906,207,"0.50_mM",0.493725441,0.438601997,0.466163719,3.414298267,"nmol_sulfate_hr-1_cm-3",0.001907575,118.1535147,"nmol_hr-1_cm-3",NA,"Y"
1377,"Depressional","B",3,"Shallow",666,1.735,27.71,NA,NA,"0.50_mM",0.493725441,0.455161296,0.474443369,2.414608154,"nmol_sulfate_hr-1_cm-3",0.001910591,119.627434,"nmol_hr-1_cm-3",NA,"Y"
1389,"Depressional","B",3,"Shallow",678,1.705833333,27.71,4.906,312,"0.50_mM",0.493725441,0.466391422,0.480058432,1.682687874,"nmol_sulfate_hr-1_cm-3",0.001862602,114.6621343,"nmol_hr-1_cm-3",NA,"Y"
1401,"Depressional","B",3,"Shallow",690,1.747833333,27.71,NA,NA,"0.50_mM",0.493725441,0.462197232,0.477961337,1.988670379,"nmol_sulfate_hr-1_cm-3",0.001852582,116.8532893,"nmol_hr-1_cm-3",NA,"Y"
1413,"Depressional","B",3,"Shallow",702,1.702666667,27.71,4.868,302,"0.50_mM",0.493725441,0.469653182,0.481689312,1.479142332,"nmol_sulfate_hr-1_cm-3",0.001921107,118.0442118,"nmol_hr-1_cm-3",NA,"Y"
1425,"Depressional","B",3,"Shallow",714,1.748333333,27.71,NA,NA,"0.50_mM",0.493725441,0.460178273,0.476951857,2.116623325,"nmol_sulfate_hr-1_cm-3",0.001853072,116.9176418,"nmol_hr-1_cm-3",NA,"Y"
1437,"Depressional","B",3,"Shallow",726,1.746,27.71,4.3659,296,"0.50_mM",0.493725441,0.455809147,0.474767294,2.389096026,"nmol_sulfate_hr-1_cm-3",0.002179177,137.3093558,"nmol_hr-1_cm-3",NA,"Y"
1449,"Depressional","B",3,"Shallow",738,1.775333333,27.71,NA,NA,"0.50_mM",0.493725441,0.447350314,0.470537878,2.971176818,"nmol_sulfate_hr-1_cm-3",0.001839121,117.8294008,"nmol_hr-1_cm-3",NA,"Y"
1485,"Depressional","B",3,"Shallow",774,1.714666667,27.71,4.835,334,"0.75_mM",0.747834571,0.681506474,0.714670522,4.104315304,"nmol_sulfate_hr-1_cm-3",0.001878111,116.2155988,"nmol_hr-1_cm-3",NA,"Y"
1509,"Depressional","B",3,"Shallow",798,1.734166667,27.71,4.827,343,"0.75_mM",0.747834571,0.701672547,0.724753559,2.888944161,"nmol_sulfate_hr-1_cm-3",0.002033432,127.2576463,"nmol_hr-1_cm-3",NA,"Y"
1521,"Depressional","B",3,"Shallow",810,1.74,27.71,NA,NA,"0.75_mM",0.747834571,0.710623944,0.729229258,2.336574896,"nmol_sulfate_hr-1_cm-3",0.002240485,140.6872411,"nmol_hr-1_cm-3",NA,"Y"
1533,"Depressional","B",3,"Shallow",822,1.726833333,27.71,4.823,376,"0.75_mM",0.747834571,0.694526688,0.721180629,3.322043654,"nmol_sulfate_hr-1_cm-3",0.002381826,148.4307509,"nmol_hr-1_cm-3",NA,"Y"
1569,"Depressional","B",3,"Shallow",858,1.761333333,27.71,NA,NA,"0.75_mM",0.747834571,0.67812427,0.71297942,4.431002414,"nmol_sulfate_hr-1_cm-3",0.003003445,190.9082705,"nmol_hr-1_cm-3",NA,"Y"
